"ID","Age","Genre","Revenus","Statut_marital","Nb_enfants","Montant","Café","Céréales","Fruits_bio","Haricots","Jambon","Lait","Legumes_bio","Pâtes","Poisson","Poisson_bio","Pommes","Poulet","Purée","Salade","Sauce_tomate","Soda","Viande_bio","Yaourt"
103,23,"Homme",27121,"Célibataire",0,15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
104,59,"Femme",18265,"Célibataire",0,50.5,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
105,46,"Homme",47732,"Veuf(ve)",0,58.5,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0
106,74,"Femme",22350,"Veuf(ve)",1,26.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
107,76,"Homme",27858,"Veuf(ve)",1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
108,78,"Homme",33397,"Marié(e)",1,55.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
109,62,"Femme",121870,"Célibataire",1,23,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
110,28,"Femme",34685,"Célibataire",0,39,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
111,42,"Femme",36116,"Marié(e)",3,34.5,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
112,50,"Femme",193716,"Célibataire",1,19,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,41,"Femme",40752,"Marié(e)",3,47,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
114,29,"Homme",25511,"Célibataire",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
115,20,"Homme",19720,"Célibataire",0,31,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
116,75,"Homme",27398,"Marié(e)",1,54.5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
117,49,"Femme",37261,"Célibataire",0,33,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
118,30,"Femme",47959,"Célibataire",1,34,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
119,45,"Femme",47193,"Marié(e)",2,41,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
120,49,"Femme",30169,"Marié(e)",3,39.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
121,72,"Homme",23656,"Veuf(ve)",0,47.5,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
122,29,"Homme",26778,"Célibataire",0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
123,24,"Homme",19900,"Célibataire",0,14.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
124,75,"Homme",23705,"Veuf(ve)",0,23,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
125,22,"Femme",58995,"Célibataire",0,30,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
126,45,"Femme",237381,"Veuf(ve)",2,54.5,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
127,55,"Homme",222805,"Célibataire",2,27,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
128,80,"Homme",30790,"Veuf(ve)",1,37,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
129,18,"Femme",42327,"Célibataire",1,19.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
130,656,"Femme",54010,"Marié(e)",2,18.5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
131,78,"Homme",19765,"Marié(e)",2,72,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0
132,72,"Femme",29458,"Marié(e)",1,21.5,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1
133,51,"Femme",56065,"Célibataire",0,35.5,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
134,38,"Femme",40627,"Célibataire",1,38.5,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
135,71,"Homme",30361,"Veuf(ve)",0,35,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
136,58,"Femme",49018,"Célibataire",1,42.5,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
137,26,"Homme",20483,"Célibataire",0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
138,51,"Femme",44872,"Célibataire",0,18.5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
139,72,"Homme",21365,"Marié(e)",0,54,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
140,36,"Homme",218126,"Célibataire",1,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,38,"Femme",39256,"Célibataire",0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
142,24,"Homme",28494,"Célibataire",0,42,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
143,23,"Femme",45557,"Veuf(ve)",3,86.5,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1
144,79,"Femme",21179,"Veuf(ve)",1,69.5,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1
145,20,"Homme",15908,"Célibataire",0,40.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
146,25,"Homme",20270,"Célibataire",0,43.5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
147,836,"Femme",45818,"Marié(e)",3,26,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
148,27,"Homme",17033,"Célibataire",0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
149,27,"Homme",29350,"Célibataire",0,34.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
150,46,"Homme",45308,"Marié(e)",2,30.5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
151,72,"Femme",34449,"Veuf(ve)",1,27.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
152,43,"Homme",133049,"Célibataire",0,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
153,52,"Femme",59178,"Marié(e)",2,42.5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
154,66,"Femme",76751,"Célibataire",1,49,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
155,20,"Homme",22583,"Célibataire",0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
156,38,"Homme",47292,"Marié(e)",3,27.5,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
157,72,"Femme",33172,"Marié(e)",1,50.5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
158,56,"Femme",20050,"Célibataire",1,22,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
159,37,"Femme",46598,"Marié(e)",2,30,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
160,35,"Femme",57293,"Célibataire",0,31,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
161,40,"Homme",50499,"Marié(e)",2,8.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
162,64,"Femme",214745,"Célibataire",1,20.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
163,26,"Femme",30883,"Célibataire",0,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
164,75,"Homme",32742,"Marié(e)",1,48,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
165,20,"Homme",26984,"Célibataire",0,26,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
166,63,"Femme",27533,"Marié(e)",2,35,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
167,75,"Homme",18283,"Marié(e)",1,38.5,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1
168,77,"Femme",31340,"Marié(e)",1,25,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
169,25,"Femme",148644,"Marié(e)",1,55,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
170,46,"Femme",121537,"Marié(e)",2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
171,21,"Homme",26470,"Célibataire",0,31,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0
172,38,"Homme",57358,"Marié(e)",2,36,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
173,41,"Femme",36865,"Marié(e)",3,18,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
174,55,"Femme",120157,"Célibataire",0,34.5,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
175,73,"Femme",29676,"Marié(e)",1,53,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
176,21,"Femme",52692,"Célibataire",0,15.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
177,55,"Homme",44390,"Marié(e)",3,50.5,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
178,47,"Femme",50895,"Marié(e)",2,21,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
179,78,"Femme",33167,"Marié(e)",0,68,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
180,62,"Homme",177467,"Marié(e)",1,69,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0
181,56,"Femme",34845,"Célibataire",0,18,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
182,29,"Femme",51518,"Célibataire",0,21.5,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
183,51,"Homme",221942,"Célibataire",2,45,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
184,35,"Homme",128138,"Marié(e)",1,26,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
185,53,"Homme",34054,"Marié(e)",3,38,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
186,57,"Femme",127863,"Célibataire",1,48,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
187,45,"Homme",40258,"Marié(e)",3,58.5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
188,32,"Femme",84957,"Célibataire",2,96,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
189,65,"Femme",204539,"Marié(e)",1,10.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
190,51,"Homme",40230,"Marié(e)",3,59,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
191,25,"Homme",26041,"Célibataire",0,29,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
192,63,"Femme",221180,"Célibataire",0,34,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
193,77,"Femme",152627,"Veuf(ve)",1,67,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0
194,19,"Homme",18732,"Célibataire",0,32.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
195,38,"Femme",128680,"Marié(e)",0,30,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
196,25,"-",19133,"Célibataire",0,27.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
197,67,"Femme",26160,"Veuf(ve)",0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
198,47,"Femme",35879,"Célibataire",0,8.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,50,"Femme",22478,"Célibataire",0,15.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
200,22,"Homme",21061,"Célibataire",0,43.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
201,28,"Homme",26324,"Célibataire",0,51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
202,48,"Homme",176327,"Marié(e)",0,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
203,47,"Femme",27374,"Célibataire",1,14.5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
204,27,"Homme",23094,"Célibataire",0,32.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
205,39,"Homme",219138,"Célibataire",1,71,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0
206,27,"Homme",29160,"Célibataire",0,39,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
207,22,"Homme",28596,"Célibataire",0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
208,74,"Femme",21740,"Veuf(ve)",1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
209,66,"Homme",21730,"Veuf(ve)",0,27.5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
210,80,"Femme",28089,"Marié(e)",0,54.5,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
211,46,"Femme",48629,"Marié(e)",2,26,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
212,55,"Homme",44930,"Marié(e)",3,37.5,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
213,67,"Homme",25273,"Veuf(ve)",1,17.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
214,26,"Homme",19309,"Célibataire",0,41.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
215,36,"Femme",36161,"Marié(e)",2,25.5,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
216,78,"Femme",173513,"Célibataire",1,76,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1
217,29,"Homme",27267,"Célibataire",0,31.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
218,40,"Femme",44791,"Célibataire",0,14.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
219,39,"Femme",49288,"Marié(e)",2,19.5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
220,19,"-",41022,"Célibataire",1,17.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
221,38,"Homme",31291,"Marié(e)",3,38,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
222,29,"Homme",24351,"Célibataire",0,47.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
223,41,"Femme",50604,"Marié(e)",2,17.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
224,52,"Homme",53193,"Marié(e)",2,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
225,55,"Femme",42983,"Marié(e)",3,28,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
226,68,"Homme",33864,"Marié(e)",0,19.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
